                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72622,                0.79335,                 1.1163,                0.84463,                0.85885,                 0.9054,                0.74142,                0.68969,                0.75822,                  1.051,             0.00066413,             0.00066413,             0.00066413
                      2,                0.75488,                0.56848,                 1.1147,                0.89594,                0.82773,                0.92814,                0.73059,                0.82304,                 0.9705,                 1.1295,              0.0013176,              0.0013176,              0.0013176
                      3,                0.76426,                0.54417,                 1.1175,                0.89406,                0.92196,                0.96512,                0.78039,                0.74597,                0.62196,                 1.0786,              0.0019579,              0.0019579,              0.0019579
                      4,                0.73415,                 0.5055,                  1.094,                0.89873,                0.82782,                0.91514,                0.73961,                0.76102,                0.66483,                 1.0778,              0.0019406,              0.0019406,              0.0019406
                      5,                0.70488,                  0.475,                 1.0701,                0.86442,                0.83048,                0.91083,                0.75226,                0.72883,                0.66223,                 1.0634,              0.0019406,              0.0019406,              0.0019406
                      6,                0.68517,                0.45089,                 1.0664,                0.91949,                0.77741,                0.86841,                0.69359,                0.86954,                0.96219,                 1.1557,              0.0019208,              0.0019208,              0.0019208
                      7,                0.67221,                0.43384,                 1.0527,                0.93185,                 0.8273,                0.92229,                0.74773,                0.76037,                0.61681,                 1.0745,               0.001901,               0.001901,               0.001901
                      8,                0.65378,                0.41047,                  1.043,                0.92981,                0.92773,                0.97145,                0.82497,                0.63944,                0.45177,                0.98487,              0.0018812,              0.0018812,              0.0018812
                      9,                0.62289,                0.39241,                 1.0259,                 0.9656,                0.88908,                0.96435,                0.81842,                0.62814,                0.47825,                0.97846,              0.0018614,              0.0018614,              0.0018614
                     10,                0.61313,                0.38166,                 1.0213,                0.94437,                0.91298,                0.96439,                0.83315,                0.61921,                0.49695,                0.96871,              0.0018416,              0.0018416,              0.0018416
                     11,                0.64312,                0.39823,                 1.0457,                0.97687,                0.92437,                0.97451,                0.83431,                0.60988,                0.42605,                0.96963,              0.0018218,              0.0018218,              0.0018218
                     12,                0.62567,                0.38323,                 1.0325,                0.96181,                0.92857,                0.97343,                0.83051,                 0.6482,                0.49415,                 1.0022,               0.001802,               0.001802,               0.001802
                     13,                0.62657,                0.38104,                 1.0286,                0.96134,                0.93697,                0.98039,                0.85718,                0.57603,                0.43556,                0.95091,              0.0017822,              0.0017822,              0.0017822
                     14,                0.60863,                0.37044,                 1.0233,                0.97221,                0.93277,                0.98009,                0.85054,                0.59569,                0.38953,                0.95915,              0.0017624,              0.0017624,              0.0017624
                     15,                0.61491,                0.36797,                 1.0264,                0.97197,                0.91849,                0.97937,                0.85959,                0.57352,                0.38969,                0.94379,              0.0017426,              0.0017426,              0.0017426
                     16,                0.60128,                0.36128,                 1.0157,                 0.9752,                0.95847,                 0.9895,                0.86631,                0.57259,                0.32642,                0.94523,              0.0017228,              0.0017228,              0.0017228
                     17,                0.60179,                0.35062,                 1.0179,                0.94266,                0.91179,                0.96585,                0.83381,                 0.6168,                0.42881,                0.97025,               0.001703,               0.001703,               0.001703
                     18,                0.58223,                0.34495,                 1.0037,                 0.9645,                0.94202,                0.98339,                 0.8608,                0.60076,                0.40858,                0.94512,              0.0016832,              0.0016832,              0.0016832
                     19,                0.57465,                0.34618,                 1.0011,                0.97001,                0.91176,                0.96891,                0.83716,                0.61839,                0.44846,                0.97114,              0.0016634,              0.0016634,              0.0016634
                     20,                0.58663,                0.34308,                 1.0112,                0.93898,                0.90504,                0.96388,                0.83976,                0.56165,                0.43777,                 0.9327,              0.0016436,              0.0016436,              0.0016436
                     21,                0.57458,                0.33571,                 1.0044,                0.98165,                 0.9441,                0.98632,                0.86805,                0.56819,                0.40669,                0.93728,              0.0016238,              0.0016238,              0.0016238
                     22,                0.55099,                0.31923,                0.98412,                0.97289,                0.93501,                0.97685,                0.85826,                0.59503,                0.44604,                0.94582,               0.001604,               0.001604,               0.001604
                     23,                 0.5471,                0.32238,                0.98586,                0.96888,                 0.9084,                0.96604,                0.83965,                0.62821,                 0.5119,                  0.987,              0.0015842,              0.0015842,              0.0015842
                     24,                0.55263,                0.31915,                0.99224,                0.98615,                0.93529,                0.98567,                0.85701,                 0.5901,                0.34252,                0.95028,              0.0015644,              0.0015644,              0.0015644
                     25,                0.55389,                0.32132,                0.99163,                  0.978,                0.95378,                0.98571,                0.86479,                0.57944,                0.33764,                0.95447,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.5733,                 0.3329,                0.99998,                0.97334,                0.95095,                0.98422,                0.87812,                0.55426,                0.40203,                 0.9385,              0.0015248,              0.0015248,              0.0015248
                     27,                0.56392,                0.32674,                0.99746,                 0.9592,                0.90924,                0.96707,                0.84841,                0.58744,                0.47765,                0.95911,               0.001505,               0.001505,               0.001505
                     28,                 0.5673,                0.32433,                  1.001,                0.97746,                 0.9473,                0.98149,                0.85488,                0.57337,                 0.3567,                 0.9494,              0.0014852,              0.0014852,              0.0014852
                     29,                0.55425,                0.32076,                0.99002,                0.98359,                0.95685,                0.98716,                0.87764,                0.55916,                0.35332,                 0.9364,              0.0014654,              0.0014654,              0.0014654
                     30,                0.55148,                0.31057,                 0.9927,                 0.9696,                0.93812,                0.97229,                0.85633,                0.57159,                0.36574,                0.95713,              0.0014456,              0.0014456,              0.0014456
                     31,                0.57047,                0.32366,                  1.006,                0.98451,                 0.9611,                0.99021,                0.87903,                0.53651,                0.30856,                0.91996,              0.0014258,              0.0014258,              0.0014258
                     32,                 0.5532,                0.31583,                0.99141,                 0.9693,                0.95512,                0.98565,                0.87619,                 0.5409,                0.32009,                0.93006,               0.001406,               0.001406,               0.001406
                     33,                0.56122,                 0.3168,                0.99473,                0.95276,                0.96602,                0.98867,                0.87736,                0.56117,                0.34214,                0.94932,              0.0013862,              0.0013862,              0.0013862
                     34,                0.56066,                0.31431,                0.99593,                0.98434,                0.95107,                0.98756,                0.88101,                0.54913,                 0.3763,                0.92966,              0.0013664,              0.0013664,              0.0013664
                     35,                0.54861,                 0.3135,                0.98871,                0.98143,                0.94286,                0.98104,                0.87459,                0.53892,                0.35234,                0.92135,              0.0013466,              0.0013466,              0.0013466
                     36,                0.54852,                 0.3108,                0.98773,                0.95963,                0.88487,                0.95181,                0.84308,                0.54825,                0.51625,                0.93726,              0.0013268,              0.0013268,              0.0013268
                     37,                0.53951,                0.30662,                0.98763,                0.98852,                0.95042,                0.98671,                 0.8766,                0.53925,                0.30808,                0.93271,               0.001307,               0.001307,               0.001307
                     38,                0.54195,                0.30548,                0.98449,                0.98703,                0.95903,                0.99051,                 0.8788,                0.54342,                0.31123,                0.91925,              0.0012872,              0.0012872,              0.0012872
                     39,                 0.5185,                0.28846,                0.97024,                0.98394,                0.97806,                0.99183,                0.88463,                0.52297,                0.29662,                0.91558,              0.0012674,              0.0012674,              0.0012674
                     40,                0.51588,                0.28989,                0.96986,                0.98744,                0.96134,                 0.9883,                0.87613,                0.54651,                0.32019,                0.92938,              0.0012476,              0.0012476,              0.0012476
                     41,                0.52441,                0.29712,                0.97992,                0.98062,                0.96975,                0.98877,                0.88615,                0.52432,                0.31227,                0.91725,              0.0012278,              0.0012278,              0.0012278
